collarid,DATETIME,LATITUDE,LONGITUDE,HEADING,SPEED,ALTITUDE
st2010-3500,01/01/2015 05:01,-1.243737,36.784233,24,0,1764
st2010-3500,01/01/2015 07:00,-1.24994,36.801668,64,0,1702
st2010-3500,01/01/2015 09:00,-1.253333,36.800753,47,0,1740
st2010-3500,01/01/2015 11:00,-1.105618,36.252117,264,108.6,1667
st2010-3500,01/01/2015 13:02,-1.398793,35.544678,283,33.3,1705
st2010-3500,01/01/2015 15:00,-1.460915,35.231735,268,0,1555
st2010-3500,02/01/2015 05:02,-1.44286,35.197,145,28.8,1627
st2010-3500,02/01/2015 07:00,-1.521142,35.317168,100,0,1719
st2010-3500,02/01/2015 09:00,-1.5208,35.316467,201,0,1714
st2010-3500,02/01/2015 11:01,-1.626648,35.346643,250,0,1830
st2010-3500,02/01/2015 13:00,-1.603722,35.311343,342,17,1771
st2010-3500,02/01/2015 15:01,-1.541827,35.279162,62,9.4,1712
st2010-3500,03/01/2015 05:01,-1.358882,35.135055,16,8.8,1551
st2010-3500,03/01/2015 07:00,-1.365045,35.136242,265,13.9,1553
st2010-3500,03/01/2015 09:00,-1.36471,35.136605,153,0,1537
st2010-3500,03/01/2015 11:00,-1.383098,35.145333,0,0,1575
st2010-3500,03/01/2015 13:01,-1.364682,35.136622,134,0,1552
st2010-3500,03/01/2015 15:00,-1.460995,35.231853,100,3.1,1602
st2010-3500,04/01/2015 05:00,-1.45441,35.21523,246,0,1552
st2010-3500,04/01/2015 07:00,-1.364977,35.136728,308,0,1552
st2010-3500,04/01/2015 09:01,-1.37015,35.15372,121,45.9,1552
st2010-3500,04/01/2015 11:00,-1.516715,35.32028,179,0,1705
st2010-3500,04/01/2015 13:00,-1.516617,35.320863,169,0,1697
st2010-3500,04/01/2015 15:00,-1.441432,35.214942,0,0,1588
st2010-3500,05/01/2015 05:00,-1.460975,35.231793,70,0,1575
st2010-3500,05/01/2015 07:00,-1.460895,35.231952,0,0,1623
st2010-3500,05/01/2015 09:02,-1.441862,35.216175,263,0,1538
st2010-3500,05/01/2015 11:00,-1.441878,35.216485,289,0,1592
st2010-3500,05/01/2015 13:00,-1.441717,35.216075,305,0,1540
st2010-3500,05/01/2015 15:00,-1.441323,35.215395,338,0,1565
st2010-3500,06/01/2015 05:00,-1.364982,35.136228,53,0,1541
st2010-3500,06/01/2015 07:00,-1.364775,35.136813,77,0,1581
st2010-3500,06/01/2015 09:00,-1.344077,35.090192,216,55.4,1705
st2010-3500,06/01/2015 10:59,-1.362668,34.994213,0,0,1565
st2010-3500,06/01/2015 13:00,-1.362695,34.994242,96,0,1561
st2010-3500,06/01/2015 14:59,-1.363363,34.994565,0,0,1550
st2010-3500,07/01/2015 05:00,-1.362582,34.99422,318,0,1559
st2010-3500,07/01/2015 07:00,-1.362612,34.994183,53,0,1557
st2010-3500,07/01/2015 09:01,-1.378,35.141713,223,0,1551
st2010-3500,07/01/2015 11:00,-1.604273,35.082907,141,0,1524
st2010-3500,07/01/2015 13:01,-1.604698,35.082698,319,0,1540
st2010-3500,07/01/2015 15:00,-1.603098,35.083215,290,0,1534
st2010-3500,08/01/2015 05:00,-1.603085,35.08352,291,0,1537
st2010-3500,08/01/2015 07:00,-1.602798,35.083705,81,0,1535
st2010-3500,08/01/2015 09:00,-1.855752,35.206147,122,34.9,2054
st2010-3500,08/01/2015 11:00,-2.204473,35.248658,345,0,1713
st2010-3500,08/01/2015 13:00,-2.090005,35.21955,225,41,1783
st2010-3500,08/01/2015 15:00,-2.093057,35.215112,82,0,1709
st2010-3500,09/01/2015 05:00,-2.08374,35.214563,60,0,1749
st2010-3500,09/01/2015 07:00,-2.030585,35.360683,0,0,2379
st2010-3500,09/01/2015 09:00,-2.073588,35.186822,179,71.9,2399
st2010-3500,09/01/2015 11:00,-2.125967,35.140067,0,0,1677
st2010-3500,09/01/2015 13:00,-2.126377,35.139732,54,0,1679
st2010-3500,09/01/2015 15:00,-2.12613,35.141817,0,0,1698
st2010-3500,10/01/2015 05:00,-2.134007,35.156498,13,0,1693
st2010-3500,10/01/2015 07:00,-2.134058,35.159713,23,69.4,2148
st2010-3500,10/01/2015 09:00,-2.079783,35.188607,346,76.1,2279
st2010-3500,10/01/2015 11:00,-2.14319,35.186847,183,0,1670
st2010-3500,10/01/2015 13:00,-2.124913,35.229832,78,0,1795
st2010-3500,10/01/2015 15:00,-2.123858,35.230333,112,0,1794
st2010-3500,11/01/2015 05:00,-2.12528,35.230757,34,0,1792
st2010-3500,11/01/2015 07:00,-1.876575,35.153762,87,44.8,1804
st2010-3500,11/01/2015 09:00,-1.411612,35.006278,3,78.3,2010
st2010-3500,11/01/2015 10:59,-1.363,34.995693,233,0,1570
st2010-3500,11/01/2015 13:00,-1.362997,34.995675,70,0,1561
st2010-3500,11/01/2015 15:00,-1.362627,34.99427,23,0,1572
st2010-3500,12/01/2015 05:00,-1.362652,34.994257,63,0,1564
st2010-3500,12/01/2015 07:00,-1.362527,34.994275,0,0,1571
st2010-3500,12/01/2015 09:00,-1.382163,34.987722,75,29.3,1660
st2010-3500,12/01/2015 11:00,-1.3631,35.003923,0,0,2564
st2010-3500,12/01/2015 13:00,-1.362672,34.994233,49,0,1569
st2010-3500,12/01/2015 15:00,-1.362673,34.99423,0,0,1566
st2010-3500,13/01/2015 05:00,-1.362977,34.99568,61,0,1556
st2010-3500,13/01/2015 07:00,-1.371425,35.00833,27,34.6,1906
st2010-3500,13/01/2015 09:00,-1.35951,34.987868,19,17.8,1979
st2010-3500,13/01/2015 11:00,-1.247412,35.064692,225,0,1633
st2010-3500,13/01/2015 13:00,-1.362645,34.994248,36,0,1562
st2010-3500,13/01/2015 15:00,-1.362697,34.99421,91,0,1564
st2010-3500,14/01/2015 05:00,-1.372983,35.003447,96,0,1548
st2010-3500,14/01/2015 07:00,-1.37655,34.999295,119,0,1547
st2010-3500,14/01/2015 09:00,-1.383743,35.011465,158,37.3,1991
st2010-3500,14/01/2015 11:00,-1.277585,35.550815,223,56.5,2443
st2010-3500,14/01/2015 13:00,-1.324228,35.482318,42,0,1825
st2010-3500,14/01/2015 15:00,-1.324255,35.482345,313,0,1818
st2010-3500,15/01/2015 05:00,-1.3242,35.482307,80,0,1822
st2010-3500,15/01/2015 07:00,-1.337188,35.46202,69,0,1799
st2010-3500,15/01/2015 09:00,-1.35353,35.28676,278,71.1,2080
st2010-3500,15/01/2015 11:00,-1.374303,35.247135,145,0,1667
st2010-3500,15/01/2015 13:00,-1.35326,35.47298,101,52.1,2360
st2010-3500,15/01/2015 15:00,-1.369092,35.458217,356,0,1775
st2010-3500,16/01/2015 05:00,-1.36905,35.458355,258,0,1753
st2010-3500,16/01/2015 07:00,-1.383485,35.44806,223,0,1768
st2010-3500,16/01/2015 09:00,-1.42431,35.36176,238,0,1679
st2010-3500,16/01/2015 11:00,-1.48592,35.479183,171,28.4,2082
st2010-3500,16/01/2015 13:00,-1.567727,35.47555,38,0,1857
st2010-3500,16/01/2015 15:00,-1.567702,35.475557,47,0,1862
st2010-3500,17/01/2015 05:00,-1.568157,35.475502,5,0,1851
st2010-3500,17/01/2015 06:59,-1.527695,35.448313,273,67.5,2468
st2010-3500,17/01/2015 09:00,-1.36831,35.290212,172,0,1770
st2010-3500,17/01/2015 10:59,-1.641678,35.146202,353,0,1630
st2010-3500,17/01/2015 13:00,-1.68255,35.130672,27,0,1866
st2010-3500,17/01/2015 14:59,-1.68256,35.13064,258,0,1873
st2010-3500,18/01/2015 05:00,-1.682542,35.130657,109,0,1863
st2010-3500,18/01/2015 07:00,-1.68252,35.130663,245,0,1874
st2010-3500,18/01/2015 13:00,-1.978718,35.247608,13,0,1891
st2010-3500,18/01/2015 15:00,-1.978712,35.247567,53,0,1890
st2010-3500,19/01/2015 05:00,-1.97876,35.247615,112,0,1885
st2010-3500,19/01/2015 07:00,-1.993743,35.248283,223,0,1852
st2010-3500,19/01/2015 09:00,-2.054287,35.177898,282,57.3,2171
st2010-3500,19/01/2015 11:00,-2.389492,35.250258,213,0,1810
st2010-3500,19/01/2015 13:00,-2.389613,35.250288,65,0,1805
st2010-3500,19/01/2015 15:00,-2.391047,35.257288,89,0,1818
st2010-3500,20/01/2015 05:00,-2.388342,35.260933,120,0,1810
st2010-3500,20/01/2015 07:00,-2.393537,35.254652,0,0,1804
st2010-3500,20/01/2015 09:00,-2.288947,35.163732,183,0,1723
st2010-3500,20/01/2015 11:00,-2.29034,35.16401,0,0,1710
st2010-3500,20/01/2015 13:00,-2.290315,35.16408,47,0,1711
st2010-3500,20/01/2015 15:00,-2.29299,35.16822,0,0,1732
st2010-3500,21/01/2015 05:00,-2.302798,35.166535,123,0,1750
st2010-3500,21/01/2015 07:00,-2.311798,35.165948,43,0,1756
st2010-3500,21/01/2015 09:00,-2.313303,35.17352,175,0,1766
st2010-3500,21/01/2015 11:00,-2.242867,35.096462,143,0,1620
st2010-3500,21/01/2015 13:00,-2.25851,35.167175,205,37.5,1904
st2010-3500,21/01/2015 15:00,-2.245788,35.242123,343,0,1780
st2010-3500,22/01/2015 05:00,-2.246113,35.233447,103,0,1761
st2010-3500,22/01/2015 06:59,-2.242847,35.164462,193,0,1694
st2010-3500,22/01/2015 09:00,-2.239687,35.165808,236,0,1712
st2010-3500,22/01/2015 11:00,-2.278708,35.127302,112,2.2,1705
st2010-3500,22/01/2015 13:00,-2.275715,35.19859,173,56.1,2129
st2010-3500,22/01/2015 15:00,-2.320088,35.293937,351,0,1880
