collarid,DATETIME,LATITUDE,LONGITUDE,HEADING,SPEED,ALTITUDE
st2010-3502,01/01/2015 00:00,0.242147,37.391762,0,0,1730
st2010-3502,01/01/2015 01:00,0.226135,37.399556,0,0,1730
st2010-3502,01/01/2015 02:00,0.226114,37.399466,137,0,1724
st2010-3502,01/01/2015 03:00,0.232846,37.406688,0,0,1716
st2010-3502,01/01/2015 04:00,0.233425,37.406788,27,0,1711
st2010-3502,01/01/2015 05:00,0.233468,37.406757,0,0,1709
st2010-3502,01/01/2015 06:00,0.233441,37.406736,50,0,1709
st2010-3502,01/01/2015 07:00,0.233762,37.406741,5,3.4,1707
st2010-3502,01/01/2015 08:00,0.234677,37.408781,217,0,1705
st2010-3502,01/01/2015 09:00,0.2349,37.409152,0,0,1714
st2010-3502,01/01/2015 10:00,0.234852,37.408983,0,0,1621
st2010-3502,01/01/2015 11:00,0.234936,37.409102,209,0,1709
st2010-3502,01/01/2015 12:00,0.234913,37.409072,233,0,1697
st2010-3502,01/01/2015 13:00,0.234944,37.409022,165,0,1699
st2010-3502,01/01/2015 14:00,0.234915,37.409093,242,0,1699
st2010-3502,01/01/2015 15:00,0.234737,37.409387,305,5.1,1704
st2010-3502,01/01/2015 16:00,0.234873,37.408996,98,0,1703
st2010-3502,01/01/2015 17:00,0.23497,37.4091,32,0,1720
st2010-3502,01/01/2015 18:00,0.234755,37.409285,294,2.3,1755
st2010-3502,01/01/2015 19:00,0.234965,37.409203,50,0,1717
st2010-3502,01/01/2015 20:00,0.237839,37.409089,46,2.5,1684
st2010-3502,01/01/2015 21:00,0.242057,37.412562,215,0,1661
st2010-3502,01/01/2015 22:00,0.242305,37.412381,90,0,1606
st2010-3502,01/01/2015 23:01,0.242305,37.412381,90,0,1606
st2010-3502,02/01/2015 00:01,0.242305,37.412381,90,0,1606
st2010-3502,02/01/2015 01:00,0.242003,37.412623,7,0,1658
st2010-3502,02/01/2015 02:00,0.241935,37.412566,359,0,1659
st2010-3502,02/01/2015 03:00,0.241863,37.412609,73,0,1660
st2010-3502,02/01/2015 04:00,0.241882,37.412602,99,0,1634
st2010-3502,02/01/2015 05:00,0.240271,37.411709,54,0,1648
st2010-3502,02/01/2015 06:00,0.237697,37.411321,29,0,1679
st2010-3502,02/01/2015 07:00,0.23728,37.410263,73,0,1687
st2010-3502,02/01/2015 08:00,0.237375,37.410203,85,0,1682
st2010-3502,02/01/2015 09:00,0.237356,37.410174,21,0,1686
st2010-3502,02/01/2015 10:00,0.237348,37.410223,195,0,1688
st2010-3502,02/01/2015 11:00,0.237396,37.410215,44,0,1691
st2010-3502,02/01/2015 12:00,0.23736,37.410238,12,0,1686
st2010-3502,02/01/2015 13:00,0.237461,37.410149,48,0,1672
st2010-3502,02/01/2015 14:00,0.237205,37.410128,142,0,1689
st2010-3502,02/01/2015 15:00,0.237221,37.410281,170,0,1693
st2010-3502,02/01/2015 16:00,0.237117,37.410105,146,0,1703
st2010-3502,02/01/2015 17:00,0.237152,37.410296,73,0,1701
st2010-3502,02/01/2015 18:00,0.237238,37.410103,321,0,1677
st2010-3502,02/01/2015 19:00,0.236732,37.410136,154,2.8,1674
st2010-3502,02/01/2015 20:00,0.213598,37.415216,187,3.1,1674
st2010-3502,02/01/2015 21:00,0.203576,37.41746,127,4.5,1752
st2010-3502,02/01/2015 22:00,0.200884,37.429554,207,0,1731
st2010-3502,02/01/2015 23:00,0.201017,37.42987,184,0,1726
st2010-3502,03/01/2015 00:00,0.19999,37.42818,358,0,1732
st2010-3502,03/01/2015 01:00,0.200015,37.428147,355,0,1729
st2010-3502,03/01/2015 02:00,0.199963,37.428202,330,0,1726
st2010-3502,03/01/2015 03:00,0.199835,37.428065,280,0,1731
st2010-3502,03/01/2015 04:00,0.199754,37.428024,181,0,1726
st2010-3502,03/01/2015 05:00,0.199577,37.428019,147,0,1718
st2010-3502,03/01/2015 06:00,0.199567,37.427926,101,0,1723
st2010-3502,03/01/2015 07:00,0.199547,37.428089,238,0,1720
st2010-3502,03/01/2015 08:00,0.199634,37.427588,28,0,1727
st2010-3502,03/01/2015 09:00,0.199655,37.427675,0,0,1719
st2010-3502,03/01/2015 10:00,0.199674,37.427533,74,0,1723
st2010-3502,03/01/2015 11:00,0.199685,37.427401,103,0,1738
st2010-3502,03/01/2015 12:00,0.199697,37.427465,47,0,1703
st2010-3502,03/01/2015 13:00,0.199603,37.4273,245,0,1765
st2010-3502,03/01/2015 14:01,0.199603,37.4273,245,0,1765
st2010-3502,03/01/2015 15:00,0.199598,37.427439,255,0,1695
st2010-3502,03/01/2015 16:00,0.199809,37.42754,243,0,1695
st2010-3502,03/01/2015 17:00,0.199738,37.427338,332,0,1755
st2010-3502,03/01/2015 18:01,0.199755,37.427714,75,0,1694
st2010-3502,03/01/2015 19:00,0.198161,37.410431,221,4.6,1821
st2010-3502,03/01/2015 20:00,0.187284,37.405674,94,0,1828
st2010-3502,03/01/2015 21:00,0.187115,37.396874,118,0,1848
st2010-3502,03/01/2015 22:00,0.192305,37.387902,132,0,1825
st2010-3502,03/01/2015 23:00,0.192314,37.387971,136,0,1797
st2010-3502,04/01/2015 00:00,0.185596,37.39068,92,4.6,1842
st2010-3502,04/01/2015 01:00,0.186083,37.392359,297,0,1847
st2010-3502,04/01/2015 02:00,0.186067,37.392333,173,0,1845
st2010-3502,04/01/2015 03:00,0.186066,37.39265,0,0,1843
st2010-3502,04/01/2015 04:00,0.185374,37.391906,139,4.8,1841
st2010-3502,04/01/2015 05:00,0.173776,37.397972,109,0,1849
