collarid,DATETIME,LATITUDE,LONGITUDE,HEADING,SPEED,ALTITUDE
st2010-3503,01/01/2015 00:00,0.2413433,37.49406,228,1.75,1688
st2010-3503,01/01/2015 01:00,0.2414133,37.49403,0,0.31,1697
st2010-3503,01/01/2015 02:00,0.2414267,37.49377,66,0.11,1692
st2010-3503,01/01/2015 03:00,0.2414583,37.49368,234,0.13,1666
st2010-3503,01/01/2015 04:00,0.2415833,37.49393,0,0.04,1641
st2010-3503,01/01/2015 05:00,0.241555,37.49352,167,0.2,1700
st2010-3503,01/01/2015 06:00,0.24174,37.49333,0,0.16,1707
st2010-3503,01/01/2015 07:01,0.24294,37.49283,359,0.05,1705
st2010-3503,01/01/2015 08:01,0.23576,37.49368,77,0.16,1637
st2010-3503,01/01/2015 09:01,0.2441783,37.49952,0,0.53,1702
st2010-3503,01/01/2015 10:01,0.2441883,37.49941,288,0.22,1699
st2010-3503,01/01/2015 11:01,0.2439767,37.49946,0,0.38,1691
st2010-3503,01/01/2015 12:01,0.2444833,37.49874,107,0,1693
st2010-3503,01/01/2015 13:01,0.2453783,37.49738,0,0.4,1633
st2010-3503,01/01/2015 14:01,0.2454866,37.49744,0,0,1683
st2010-3503,01/01/2015 15:01,0.2454617,37.49752,0,0.15,1681
st2010-3503,01/01/2015 16:01,0.2454517,37.4975,107,0.38,1686
st2010-3503,01/01/2015 17:01,0.2453,37.49731,0,0.35,1685
st2010-3503,01/01/2015 18:01,0.2453367,37.49733,117,0.35,1679
st2010-3503,01/01/2015 19:01,0.24558,37.49709,299,0.07,1722
st2010-3503,01/01/2015 20:01,0.252325,37.47841,0,0.38,1657
st2010-3503,01/01/2015 21:02,0.252345,37.47864,0,0,1660
st2010-3503,01/01/2015 22:02,0.25197,37.48296,0,0.15,1627
st2010-3503,01/01/2015 23:02,0.2503517,37.48431,0,0.31,1627
st2010-3503,02/01/2015 00:02,0.25036,37.48431,105,0.24,1631
st2010-3503,02/01/2015 01:02,0.2503833,37.48431,0,0.4,1623
st2010-3503,02/01/2015 02:02,0.2409467,37.48127,265,0.04,1757
st2010-3503,02/01/2015 03:00,0.2250983,37.48943,0,0.22,1693
st2010-3503,02/01/2015 04:00,0.2442517,37.49138,352,0.16,1718
st2010-3503,02/01/2015 05:00,0.257275,37.49001,0,0.24,1720
st2010-3503,02/01/2015 06:00,0.2564483,37.48624,0,0,1606
st2010-3503,02/01/2015 07:00,0.2566983,37.48749,136,0.02,1622
st2010-3503,02/01/2015 08:00,0.25591,37.48896,216,0.07,1688
st2010-3503,02/01/2015 09:00,0.2554583,37.49096,0,0.05,1755
st2010-3503,02/01/2015 10:00,0.256315,37.49102,353,2.48,1727
st2010-3503,02/01/2015 11:00,0.256305,37.49179,198,0.07,1756
st2010-3503,02/01/2015 12:00,0.2561333,37.49175,0,0.2,1756
st2010-3503,02/01/2015 13:00,0.2553217,37.49164,288,0.07,1756
st2010-3503,02/01/2015 14:00,0.255285,37.49152,263,0.2,1720
st2010-3503,02/01/2015 15:01,0.2551117,37.4916,330,0.53,1800
st2010-3503,02/01/2015 16:02,0.2551267,37.49155,0,0.16,1731
st2010-3503,02/01/2015 17:02,0.2551117,37.49155,214,0.35,1735
st2010-3503,02/01/2015 18:02,0.2551567,37.49154,296,0.16,1729
st2010-3503,02/01/2015 19:02,0.25396,37.48431,286,4.4,1577
st2010-3503,02/01/2015 20:02,0.25179,37.47895,142,0.22,1677
st2010-3503,02/01/2015 21:02,0.2517883,37.47889,0,0.44,1656
st2010-3503,02/01/2015 22:02,0.251385,37.47888,0,0.02,1645
st2010-3503,02/01/2015 23:02,0.2521483,37.47857,0,0.35,1644
st2010-3503,03/01/2015 00:02,0.2523116,37.47835,0,0.46,1632
st2010-3503,03/01/2015 01:02,0.2568467,37.47768,356,0.07,1642
st2010-3503,03/01/2015 02:02,0.2467617,37.48102,193,3.68,1701
st2010-3503,03/01/2015 03:00,0.2273367,37.48825,0,0.13,1706
st2010-3503,03/01/2015 04:00,0.2222133,37.48833,99,0.22,1648
st2010-3503,03/01/2015 05:00,0.2221116,37.48797,0,0.33,1624
st2010-3503,03/01/2015 06:01,0.2222,37.48827,0,0.44,1637
st2010-3503,03/01/2015 07:00,0.2435867,37.49382,296,3.4,1721
