collarid,DATETIME,LATITUDE,LONGITUDE,HEADING,SPEED,ALTITUDE
st2010-3504,01/01/2015 00:00,0.1966083,37.46395,348,1.2,1715
st2010-3504,01/01/2015 01:00,0.1965817,37.46405,312,0.62,1717
st2010-3504,01/01/2015 02:00,0.196965,37.46405,338,0.4,1669
st2010-3504,01/01/2015 03:00,0.1962267,37.46416,33,0.56,1865
st2010-3504,01/01/2015 04:00,0.1965033,37.46401,0,0.91,1689
st2010-3504,01/01/2015 05:00,0.1961583,37.46464,88,1.13,1718
st2010-3504,01/01/2015 06:00,0.1964133,37.46487,0,1.31,1860
st2010-3504,01/01/2015 07:00,0.1966083,37.46399,0,0.95,1688
st2010-3504,01/01/2015 08:00,0.19656,37.46394,0,0.44,1709
st2010-3504,01/01/2015 09:00,0.1964833,37.46407,148,0.07,1718
st2010-3504,01/01/2015 10:00,0.196535,37.46394,0,0.62,1722
st2010-3504,01/01/2015 11:00,0.1964917,37.46452,0,0.35,1690
st2010-3504,01/01/2015 12:00,0.1965917,37.46417,22,0.46,1690
st2010-3504,01/01/2015 13:00,0.1966167,37.46405,35,0.4,1732
st2010-3504,01/01/2015 14:00,0.1968133,37.46367,54,0.4,1611
st2010-3504,01/01/2015 15:00,0.1964283,37.46413,183,0.87,1779
st2010-3504,01/01/2015 16:00,0.1966683,37.4641,339,0.29,1725
st2010-3504,01/01/2015 17:00,0.1964167,37.46429,0,0.16,1754
st2010-3504,01/01/2015 18:00,0.196635,37.46396,0,0.15,1698
st2010-3504,01/01/2015 19:00,0.196515,37.46397,143,0.35,1713
st2010-3504,01/01/2015 20:00,0.1965616,37.46407,238,0.31,1733
st2010-3504,01/01/2015 21:00,0.19643,37.46376,327,0.51,1761
st2010-3504,01/01/2015 22:00,0.1964,37.46393,0,0.25,1724
st2010-3504,01/01/2015 23:00,0.19654,37.46392,321,0.71,1719
st2010-3504,02/01/2015 00:00,0.196535,37.46405,302,0.16,1709
st2010-3504,02/01/2015 01:00,0.19652,37.46397,314,0.35,1729
