collarid,DATETIME,LATITUDE,LONGITUDE,HEADING,SPEED,ALTITUDE
st2010-3505,01/01/2015 00:07,0.2893267,37.46862,21,0.66,1556
st2010-3505,01/01/2015 01:07,0.2885283,37.46615,24,0.58,1509
st2010-3505,01/01/2015 02:08,0.2878733,37.46519,33,0.35,1502
st2010-3505,01/01/2015 03:00,0.2852333,37.46143,95,0.56,1514
st2010-3505,01/01/2015 04:00,0.2847567,37.46265,245,0.24,1510
st2010-3505,01/01/2015 05:00,0.284185,37.466,105,3.29,1511
st2010-3505,01/01/2015 06:00,0.2728183,37.46792,0,0.38,1564
st2010-3505,01/01/2015 07:01,0.26938,37.46796,226,0.71,1614
st2010-3505,01/01/2015 08:01,0.2691833,37.46903,111,0.02,1603
st2010-3505,01/01/2015 09:01,0.2714383,37.47091,76,0.33,1596
st2010-3505,01/01/2015 10:01,0.2637067,37.48284,7,0.64,1607
st2010-3505,01/01/2015 11:01,0.2678117,37.47104,75,0.47,1593
st2010-3505,01/01/2015 12:01,0.2698967,37.46601,121,0.53,1572
st2010-3505,01/01/2015 13:01,0.2709366,37.46766,79,0.07,1583
st2010-3505,01/01/2015 14:01,0.2691883,37.46583,0,0.31,1583
st2010-3505,01/01/2015 15:01,0.2702817,37.4663,213,0.47,1562
st2010-3505,01/01/2015 16:01,0.270995,37.46666,5,0.15,1585
st2010-3505,01/01/2015 17:01,0.2695283,37.46444,139,0.22,1599
st2010-3505,01/01/2015 18:01,0.2720383,37.46782,0,0.4,1614
st2010-3505,01/01/2015 19:01,0.2806633,37.47077,54,3.64,1543
st2010-3505,01/01/2015 20:01,0.2866116,37.46944,344,1.47,1546
st2010-3505,01/01/2015 21:01,0.28849,37.46903,301,1.42,1551
st2010-3505,01/01/2015 22:01,0.2892333,37.4679,193,0.24,1506
st2010-3505,01/01/2015 23:01,0.289455,37.46834,168,0.46,1466
st2010-3505,02/01/2015 00:01,0.2895466,37.46819,0,0.04,1513
st2010-3505,02/01/2015 01:01,0.2896816,37.46581,0,0.11,1519
st2010-3505,02/01/2015 02:01,0.2904183,37.46214,326,2.86,1494
st2010-3505,02/01/2015 03:00,0.2901717,37.46075,264,0.51,1434
st2010-3505,02/01/2015 04:00,0.2924417,37.45731,67,1.89,1481
st2010-3505,02/01/2015 05:00,0.28372,37.4678,90,3.26,1546
st2010-3505,02/01/2015 06:00,0.2762766,37.46773,44,0.22,1559
st2010-3505,02/01/2015 07:00,0.2733283,37.46668,286,0.25,1591
st2010-3505,02/01/2015 08:00,0.2685767,37.46645,0,0.15,1596
st2010-3505,02/01/2015 09:00,0.2699517,37.46937,0,0.25,1617
st2010-3505,02/01/2015 10:00,0.2699933,37.46953,0,0.35,1648
st2010-3505,02/01/2015 11:00,0.2689717,37.46879,187,1.49,1565
st2010-3505,02/01/2015 12:00,0.2677333,37.46588,164,0.02,1581
st2010-3505,02/01/2015 13:00,0.2677234,37.46576,0,0.44,1562
st2010-3505,02/01/2015 14:00,0.2694067,37.46373,0,0.07,1587
st2010-3505,02/01/2015 15:00,0.270715,37.46428,0,0.04,1563
st2010-3505,02/01/2015 16:00,0.27114,37.46434,151,0.31,1560
st2010-3505,02/01/2015 17:00,0.2718767,37.46434,189,1.44,1611
st2010-3505,02/01/2015 18:00,0.2726433,37.46346,0,0.07,1592
st2010-3505,02/01/2015 19:00,0.277485,37.46275,39,4.51,1545
st2010-3505,02/01/2015 20:00,0.279465,37.46307,0,0.2,1579
st2010-3505,02/01/2015 21:00,0.27893,37.4642,0,0.04,1625
st2010-3505,02/01/2015 22:00,0.27913,37.46424,264,0.11,1545
st2010-3505,02/01/2015 23:00,0.2799367,37.46222,139,0,1525
st2010-3505,03/01/2015 00:00,0.2793967,37.46243,108,0.05,1565
st2010-3505,03/01/2015 01:00,0.27955,37.4626,169,0.04,1548
st2010-3505,03/01/2015 02:00,0.2785067,37.46212,0,0.11,1554
st2010-3505,03/01/2015 03:00,0.2773767,37.46188,73,0.07,1467
st2010-3505,03/01/2015 04:00,0.2771383,37.46246,122,0.05,1530
st2010-3505,03/01/2015 05:01,0.2758317,37.46269,189,3.4,1491
st2010-3505,03/01/2015 06:01,0.2743216,37.46456,294,0.16,1592
st2010-3505,03/01/2015 07:01,0.2706917,37.46706,154,0.66,1570
st2010-3505,03/01/2015 08:01,0.27019,37.46988,91,0.07,1654
st2010-3505,03/01/2015 09:01,0.26924,37.47147,236,4.13,1624
st2010-3505,03/01/2015 10:01,0.2647566,37.48012,109,4.11,1658
st2010-3505,03/01/2015 11:02,0.26789,37.46991,0,0.47,1602
st2010-3505,03/01/2015 12:02,0.2681883,37.46737,181,0.25,1601
st2010-3505,03/01/2015 13:02,0.2675467,37.46567,29,0.44,1580
st2010-3505,03/01/2015 14:02,0.268765,37.4641,294,0.11,1568
st2010-3505,03/01/2015 15:02,0.2694267,37.46444,5,0.56,1575
st2010-3505,03/01/2015 16:02,0.2707767,37.46709,215,0.62,1598
st2010-3505,03/01/2015 17:03,0.2709517,37.46689,335,0.29,1579
st2010-3505,03/01/2015 18:04,0.270735,37.46658,63,1.66,1566
st2010-3505,03/01/2015 19:03,0.28231,37.46832,277,4.46,1551
st2010-3505,03/01/2015 20:03,0.28205,37.46653,121,1.26,1551
st2010-3505,03/01/2015 21:04,0.28597,37.4626,275,4.13,1516
st2010-3505,03/01/2015 22:04,0.2894833,37.45695,247,2.58,1513
st2010-3505,03/01/2015 23:04,0.29084,37.4537,131,0.44,1512
st2010-3505,04/01/2015 00:05,0.2925367,37.45287,80,2.02,1489
st2010-3505,04/01/2015 01:05,0.2935217,37.45432,194,0.29,1495
st2010-3505,04/01/2015 02:05,0.2931633,37.45321,201,0.29,1485
st2010-3505,04/01/2015 03:00,0.2891333,37.45668,82,0.25,1405
st2010-3505,04/01/2015 04:00,0.2899783,37.45684,287,0.25,1464
st2010-3505,04/01/2015 05:00,0.29045,37.46388,288,0.2,1502
st2010-3505,04/01/2015 06:00,0.2882833,37.46719,0,0.15,1458
st2010-3505,04/01/2015 07:01,0.27276,37.468,0,0.58,1588
st2010-3505,04/01/2015 08:01,0.2722867,37.46876,131,0.13,1585
st2010-3505,04/01/2015 09:01,0.27167,37.46878,241,0.16,1592
st2010-3505,04/01/2015 10:01,0.2686933,37.46603,120,0.47,1596
st2010-3505,04/01/2015 11:01,0.2683333,37.46572,82,0.44,1591
st2010-3505,04/01/2015 12:01,0.2674883,37.46605,0,0.4,1595
st2010-3505,04/01/2015 13:01,0.2673633,37.46474,236,0.44,1568
st2010-3505,04/01/2015 14:01,0.2681683,37.46437,266,0.13,1572
st2010-3505,04/01/2015 15:01,0.268635,37.46499,353,0.75,1595
st2010-3505,04/01/2015 16:01,0.2682933,37.4659,85,0.11,1568
st2010-3505,04/01/2015 17:01,0.269595,37.46676,281,0.25,1599
st2010-3505,04/01/2015 18:01,0.270635,37.46653,255,0.11,1602
st2010-3505,04/01/2015 19:01,0.27776,37.46715,303,0.93,1578
st2010-3505,04/01/2015 20:01,0.291495,37.45478,108,0.35,1488
st2010-3505,04/01/2015 21:01,0.2915716,37.45446,290,1,1499
st2010-3505,04/01/2015 22:01,0.2944917,37.45328,254,0.82,1495
st2010-3505,04/01/2015 23:01,0.29465,37.45287,307,0.31,1440
st2010-3505,05/01/2015 00:01,0.2938883,37.45173,0,0.2,1500
st2010-3505,05/01/2015 01:01,0.2937983,37.45047,179,2.26,1466
st2010-3505,05/01/2015 02:01,0.293005,37.45135,0,0.02,1356
st2010-3505,05/01/2015 03:01,0.2946833,37.45242,129,0.13,1441
st2010-3505,05/01/2015 04:01,0.2968167,37.45848,254,0.35,1498
