collarid,DATETIME,LATITUDE,LONGITUDE,HEADING,SPEED,ALTITUDE
st2010-3506,01/04/2013 00:00,0.691683,37.615736,142,0,908
st2010-3506,01/04/2013 01:00,0.693707,37.616797,312,0,903
st2010-3506,01/04/2013 02:00,0.693565,37.616091,245,0,888
st2010-3506,01/04/2013 03:00,0.698184,37.61727,162,0,894
st2010-3506,01/04/2013 04:00,0.698004,37.617155,12,0,895
st2010-3506,01/04/2013 05:00,0.698068,37.617195,205,0,948
st2010-3506,01/04/2013 06:00,0.69798,37.617155,340,0,899
st2010-3506,01/04/2013 07:00,0.694002,37.613789,347,4,899
st2010-3506,01/04/2013 08:00,0.698048,37.603191,12,4.2,906
st2010-3506,01/04/2013 09:00,0.697097,37.594379,321,0,908
st2010-3506,01/04/2013 10:00,0.695095,37.589533,296,0,920
st2010-3506,01/04/2013 11:00,0.696963,37.586077,72,0,929
st2010-3506,01/04/2013 12:00,0.688592,37.607856,193,23.6,902
st2010-3506,01/04/2013 13:00,0.694793,37.592911,226,5.2,895
st2010-3506,01/04/2013 14:00,0.695,37.584104,163,0,895
st2010-3506,01/04/2013 15:01,0.694199,37.584057,290,2.5,923
st2010-3506,01/04/2013 16:00,0.6955,37.581719,37,0,933
st2010-3506,01/04/2013 17:00,0.695623,37.581356,241,3.1,935
st2010-3506,01/04/2013 18:00,0.691993,37.579646,10,0,942
st2010-3506,01/04/2013 19:00,0.696071,37.587908,329,0,945
st2010-3506,01/04/2013 20:00,0.69318,37.595774,333,0,945
st2010-3506,01/04/2013 21:00,0.693926,37.596083,295,0,945
st2010-3506,01/04/2013 22:00,0.696203,37.588091,299,0,945
st2010-3506,01/04/2013 23:01,0.696554,37.58877,180,0,926
st2010-3506,02/04/2013 00:00,0.695533,37.589385,149,0,894
st2010-3506,02/04/2013 01:00,0.696185,37.587784,229,0,925
st2010-3506,02/04/2013 02:00,0.695703,37.587379,269,0,925
st2010-3506,02/04/2013 03:01,0.695753,37.587879,181,0,914
st2010-3506,02/04/2013 04:00,0.695619,37.586167,115,0,924
st2010-3506,02/04/2013 05:00,0.695668,37.584612,250,0,923
st2010-3506,02/04/2013 06:00,0.695136,37.581594,228,0,922
st2010-3506,02/04/2013 07:00,0.695038,37.581257,176,0,935
st2010-3506,02/04/2013 08:00,0.688446,37.578308,88,3.9,936
st2010-3506,02/04/2013 09:00,0.689048,37.580455,340,0,926
st2010-3506,02/04/2013 10:00,0.689229,37.576934,135,0,939
st2010-3506,02/04/2013 11:00,0.688726,37.576114,249,0,931
st2010-3506,02/04/2013 12:00,0.689271,37.577845,0,0,927
st2010-3506,02/04/2013 13:00,0.689249,37.57882,300,0,934
st2010-3506,02/04/2013 14:00,0.688834,37.580085,160,0,931
st2010-3506,02/04/2013 15:00,0.686402,37.582152,173,0,934
st2010-3506,02/04/2013 16:00,0.687915,37.58556,133,0,939
st2010-3506,02/04/2013 17:00,0.687494,37.58641,103,0,908
st2010-3506,02/04/2013 18:00,0.687717,37.587245,219,3.3,903
st2010-3506,02/04/2013 19:00,0.692622,37.586001,27,4.1,927
st2010-3506,02/04/2013 20:00,0.707734,37.616034,0,0,895
st2010-3506,02/04/2013 21:00,0.698683,37.616303,301,0,892
st2010-3506,02/04/2013 22:00,0.69647,37.616055,241,0,897
st2010-3506,02/04/2013 23:00,0.697336,37.616537,89,0,905
st2010-3506,03/04/2013 00:00,0.696706,37.61633,0,0,908
st2010-3506,03/04/2013 01:00,0.69675,37.616119,0,0,897
st2010-3506,03/04/2013 02:00,0.696656,37.615286,25,0,910
st2010-3506,03/04/2013 03:00,0.699061,37.61662,125,0,889
st2010-3506,03/04/2013 04:00,0.698323,37.616042,0,0,895
st2010-3506,03/04/2013 05:00,0.697783,37.61665,87,0,907
st2010-3506,03/04/2013 06:00,0.697114,37.61707,0,0,910
st2010-3506,03/04/2013 07:00,0.696948,37.615808,337,4.3,893
st2010-3506,03/04/2013 08:00,0.69474,37.613666,84,2.3,895
st2010-3506,03/04/2013 09:00,0.691251,37.615759,0,0,891
st2010-3506,03/04/2013 10:00,0.692993,37.613985,2,0,906
st2010-3506,03/04/2013 11:00,0.692385,37.613313,209,0,902
st2010-3506,03/04/2013 12:00,0.691322,37.608527,75,0,903
st2010-3506,03/04/2013 13:00,0.686434,37.607066,0,0,882
st2010-3506,03/04/2013 14:00,0.689006,37.601777,0,0,884
st2010-3506,03/04/2013 15:00,0.689858,37.599705,147,0,918
st2010-3506,03/04/2013 16:00,0.690987,37.601002,0,0,910
st2010-3506,03/04/2013 17:00,0.690454,37.605032,0,0,907
st2010-3506,03/04/2013 18:00,0.687718,37.611503,68,5.1,908
st2010-3506,03/04/2013 19:00,0.699248,37.616396,16,0,897
