collarid,DATETIME,LATITUDE,LONGITUDE,HEADING,ALTITUDE
st2010-3507,27/04/2014 00:00,0.79915,37.13126,159,1156
st2010-3507,27/04/2014 01:00,0.799128,37.131298,222,1159
st2010-3507,27/04/2014 02:00,0.799423,37.134767,299,1167
st2010-3507,27/04/2014 03:00,0.798395,37.135067,0,1176
st2010-3507,27/04/2014 04:00,0.798318,37.134935,31,1165
st2010-3507,27/04/2014 05:00,0.798215,37.135002,0,1165
st2010-3507,27/04/2014 06:00,0.800195,37.134435,0,1165
st2010-3507,27/04/2014 07:00,0.802405,37.133865,115,1163
st2010-3507,27/04/2014 08:01,0.802375,37.136255,280,1160
st2010-3507,27/04/2014 09:00,0.80687,37.139623,291,1154
st2010-3507,27/04/2014 10:00,0.80649,37.139048,284,1155
st2010-3507,27/04/2014 11:00,0.806635,37.139002,76,1158
st2010-3507,27/04/2014 12:00,0.803675,37.140252,359,1163
st2010-3507,27/04/2014 13:00,0.800805,37.141385,0,1167
st2010-3507,27/04/2014 14:00,0.800023,37.142403,0,1153
st2010-3507,27/04/2014 15:00,0.800737,37.14158,58,1142
st2010-3507,27/04/2014 22:00,0.798362,37.135207,349,1160
st2010-3507,27/04/2014 23:00,0.801948,37.133282,193,1172
st2010-3507,28/04/2014 00:00,0.798022,37.130083,285,1189
st2010-3507,28/04/2014 01:01,0.780808,37.117778,63,1102
st2010-3507,28/04/2014 02:00,0.793187,37.126665,39,1129
st2010-3507,28/04/2014 03:00,0.799445,37.13357,218,1130
st2010-3507,28/04/2014 04:00,0.799282,37.133758,77,1143
st2010-3507,28/04/2014 05:01,0.798952,37.134525,52,1166
st2010-3507,28/04/2014 06:00,0.800157,37.133468,198,1164
st2010-3507,28/04/2014 07:00,0.800967,37.134702,131,1117
st2010-3507,28/04/2014 08:00,0.802047,37.136352,268,1025
st2010-3507,28/04/2014 09:00,0.802068,37.136153,85,1042
st2010-3507,28/04/2014 10:00,0.809283,37.136725,201,1056
st2010-3507,28/04/2014 11:00,0.808775,37.13811,5,1055
st2010-3507,28/04/2014 12:00,0.808395,37.139247,265,1170
st2010-3507,28/04/2014 13:00,0.804852,37.140463,0,1173
st2010-3507,28/04/2014 14:00,0.803888,37.141452,204,1139
st2010-3507,28/04/2014 15:01,0.809975,37.144432,310,1158
st2010-3507,28/04/2014 16:00,0.803483,37.14149,134,1152
st2010-3507,28/04/2014 17:00,0.805268,37.14694,114,1131
st2010-3507,28/04/2014 18:00,0.80553,37.14582,166,1145
st2010-3507,28/04/2014 19:00,0.804807,37.14558,292,1150
st2010-3507,28/04/2014 20:00,0.799662,37.13488,313,1163
st2010-3507,28/04/2014 21:00,0.798922,37.135073,308,1165
st2010-3507,28/04/2014 22:00,0.797893,37.13483,163,1155
st2010-3507,28/04/2014 23:00,0.798365,37.134187,319,1145
st2010-3507,29/04/2014 00:00,0.79779,37.134108,123,1169
st2010-3507,29/04/2014 01:00,0.798048,37.134073,97,1168
st2010-3507,29/04/2014 02:00,0.798127,37.134312,93,1148
st2010-3507,29/04/2014 03:00,0.798037,37.134462,99,1175
st2010-3507,29/04/2014 04:00,0.79976,37.133375,261,1160
st2010-3507,29/04/2014 05:00,0.802323,37.133035,286,1149
st2010-3507,29/04/2014 06:00,0.802837,37.134165,137,1169
st2010-3507,29/04/2014 07:01,0.802837,37.134165,137,1169
st2010-3507,29/04/2014 08:00,0.801558,37.13764,261,1189
st2010-3507,29/04/2014 09:00,0.804988,37.140302,51,1299
st2010-3507,29/04/2014 10:00,0.80568,37.139763,261,1163
st2010-3507,29/04/2014 11:00,0.806902,37.13923,85,1156
st2010-3507,29/04/2014 12:00,0.807038,37.139932,149,1170
st2010-3507,29/04/2014 13:00,0.80664,37.14034,31,1161
st2010-3507,29/04/2014 14:00,0.80671,37.140307,29,1166
st2010-3507,29/04/2014 15:00,0.805947,37.139857,352,1153
st2010-3507,29/04/2014 16:00,0.804657,37.14136,97,1156
st2010-3507,29/04/2014 17:00,0.80467,37.140688,165,1163
st2010-3507,29/04/2014 18:00,0.798603,37.14278,108,1132
st2010-3507,29/04/2014 19:01,0.798017,37.14034,86,1171
st2010-3507,29/04/2014 20:00,0.800522,37.13299,66,1166
st2010-3507,29/04/2014 21:00,0.801958,37.13254,281,1165
st2010-3507,29/04/2014 22:00,0.802447,37.132725,109,1161
st2010-3507,29/04/2014 23:00,0.800773,37.132737,36,1153
st2010-3507,30/04/2014 00:00,0.79977,37.133123,224,1158
st2010-3507,30/04/2014 01:00,0.783243,37.11936,247,1102
st2010-3507,30/04/2014 02:00,0.789508,37.123625,349,1108
st2010-3507,30/04/2014 03:00,0.801867,37.132837,116,1149
st2010-3507,30/04/2014 04:00,0.802613,37.132222,233,1168
st2010-3507,30/04/2014 05:00,0.802233,37.132135,349,1242
st2010-3507,30/04/2014 06:00,0.801778,37.133935,56,1155
st2010-3507,30/04/2014 07:00,0.802447,37.132838,226,1242
st2010-3507,30/04/2014 08:01,0.801888,37.134252,44,1176
st2010-3507,30/04/2014 09:00,0.801363,37.134545,189,1185
st2010-3507,30/04/2014 10:00,0.806095,37.138572,85,1172
st2010-3507,30/04/2014 11:00,0.805648,37.139968,0,1204
st2010-3507,30/04/2014 12:00,0.804223,37.1403,193,1151
st2010-3507,30/04/2014 13:00,0.805308,37.139355,84,1274
st2010-3507,30/04/2014 14:00,0.806813,37.138725,74,1162
st2010-3507,30/04/2014 15:00,0.806387,37.138683,99,1161
st2010-3507,30/04/2014 16:00,0.807123,37.13843,55,1161
st2010-3507,30/04/2014 17:00,0.805193,37.139975,285,1155
st2010-3507,30/04/2014 18:00,0.803012,37.138622,172,1157
st2010-3507,30/04/2014 19:00,0.799508,37.134663,101,1128
st2010-3507,30/04/2014 20:01,0.799463,37.134407,81,1171
st2010-3507,30/04/2014 21:00,0.797893,37.134682,89,1158
st2010-3507,30/04/2014 22:00,0.798053,37.134128,154,1158
st2010-3507,30/04/2014 23:00,0.799152,37.134432,121,1161
st2010-3507,01/05/2014 00:00,0.799713,37.13353,336,1187
st2010-3507,01/05/2014 01:00,0.7984,37.135625,0,1161
st2010-3507,01/05/2014 02:00,0.798475,37.135872,162,1161
st2010-3507,01/05/2014 03:00,0.798042,37.137722,155,1145
st2010-3507,01/05/2014 04:00,0.798165,37.137087,270,1245
st2010-3507,01/05/2014 05:00,0.798408,37.137698,206,1161
st2010-3507,01/05/2014 06:00,0.799077,37.135613,222,1161
st2010-3507,01/05/2014 07:00,0.800843,37.13494,158,1161
st2010-3507,01/05/2014 08:00,0.800468,37.135735,118,1161
st2010-3507,01/05/2014 09:00,0.801245,37.135788,13,1161
st2010-3507,01/05/2014 10:00,0.800393,37.133972,40,1165
st2010-3507,01/05/2014 11:00,0.800698,37.134255,18,1169
st2010-3507,01/05/2014 12:00,0.80066,37.138108,6,1161
st2010-3507,01/05/2014 13:00,0.801907,37.141392,343,1155
st2010-3507,01/05/2014 14:00,0.801348,37.142162,5,1111
st2010-3507,01/05/2014 15:00,0.799483,37.14106,287,1140
st2010-3507,01/05/2014 16:00,0.797508,37.143388,274,1116
st2010-3507,01/05/2014 17:00,0.79338,37.141625,286,1143
st2010-3507,01/05/2014 18:00,0.782312,37.143223,231,1148
st2010-3507,01/05/2014 19:00,0.777937,37.140403,45,1130
st2010-3507,01/05/2014 20:00,0.775635,37.12905,236,1116
st2010-3507,01/05/2014 21:00,0.780823,37.134527,60,1125
st2010-3507,01/05/2014 22:00,0.79181,37.136082,295,1171
st2010-3507,01/05/2014 23:00,0.793728,37.135582,1,1143
st2010-3507,02/05/2014 00:00,0.80013,37.133238,106,1151
st2010-3507,02/05/2014 01:00,0.800843,37.133072,125,1150
st2010-3507,02/05/2014 02:00,0.802038,37.134112,15,1165
st2010-3507,02/05/2014 03:00,0.80172,37.134308,264,1175
st2010-3507,02/05/2014 04:00,0.802067,37.133442,263,1143
st2010-3507,02/05/2014 05:00,0.802742,37.132842,117,1162
st2010-3507,02/05/2014 06:00,0.802487,37.133547,339,1153
st2010-3507,02/05/2014 07:00,0.800992,37.134548,176,1165
st2010-3507,02/05/2014 08:00,0.8019,37.134523,109,1168
st2010-3507,02/05/2014 09:00,0.801903,37.135815,343,1145
st2010-3507,02/05/2014 10:00,0.802267,37.13672,348,1171
st2010-3507,02/05/2014 11:00,0.801883,37.136833,241,1194
st2010-3507,02/05/2014 12:00,0.80242,37.13618,2,1151
st2010-3507,02/05/2014 13:00,0.800795,37.133803,114,1151
st2010-3507,02/05/2014 14:00,0.799148,37.13486,0,1168
st2010-3507,02/05/2014 15:00,0.799667,37.135105,7,1154
st2010-3507,02/05/2014 16:00,0.799655,37.135045,64,1167
st2010-3507,02/05/2014 17:00,0.800462,37.134247,12,1156
st2010-3507,02/05/2014 18:00,0.801873,37.13483,310,1237
st2010-3507,02/05/2014 19:00,0.804275,37.13521,325,1155
st2010-3507,02/05/2014 20:00,0.80067,37.134098,184,1181
st2010-3507,02/05/2014 21:00,0.80229,37.135192,227,1181
st2010-3507,02/05/2014 22:00,0.802458,37.133715,267,1180
st2010-3507,02/05/2014 23:00,0.802338,37.132788,347,1157
st2010-3507,03/05/2014 00:00,0.800088,37.133595,275,1188
st2010-3507,03/05/2014 01:00,0.801493,37.136603,33,1163
st2010-3507,03/05/2014 02:00,0.801503,37.136592,53,1199
st2010-3507,03/05/2014 03:00,0.801585,37.136612,119,1148
st2010-3507,03/05/2014 04:00,0.789708,37.140003,269,1127
st2010-3507,03/05/2014 05:00,0.77604,37.124057,141,1077
st2010-3507,03/05/2014 06:00,0.777522,37.140068,58,1093
st2010-3507,03/05/2014 07:00,0.776765,37.141423,113,1125
