collarid,DATETIME,LATITUDE,LONGITUDE,HEADING,SPEED,ALTITUDE
st2010-3508,01/01/2015 00:00,0.5232551,37.49643,215,1.06,864
st2010-3508,01/01/2015 01:00,0.52106,37.49438,270,0.4,1082
st2010-3508,01/01/2015 02:00,0.51459,37.49424,17,0.53,1045
st2010-3508,01/01/2015 03:00,0.51163,37.49313,181,5,1054
st2010-3508,01/01/2015 04:00,0.5154017,37.49298,120,0.13,984
st2010-3508,01/01/2015 05:00,0.5152883,37.493,153,0.13,955
st2010-3508,01/01/2015 06:00,0.5157683,37.49217,162,0.47,960
st2010-3508,01/01/2015 07:00,0.5170383,37.49043,0,0.47,973
st2010-3508,01/01/2015 08:00,0.5203533,37.48982,244,4.39,1013
st2010-3508,01/01/2015 09:00,0.5232366,37.48845,35,0.13,1016
st2010-3508,01/01/2015 10:00,0.5244333,37.48884,0,0.05,979
st2010-3508,01/01/2015 11:00,0.52512,37.49163,73,0.25,946
st2010-3508,01/01/2015 12:00,0.5259,37.49589,81,2.55,959
st2010-3508,01/01/2015 13:00,0.52655,37.50118,94,0.29,1025
st2010-3508,01/01/2015 14:00,0.5264533,37.50135,177,0.11,1023
st2010-3508,01/01/2015 15:00,0.52589,37.5018,0,0.05,982
st2010-3508,01/01/2015 16:00,0.5259683,37.50173,140,0.07,967
st2010-3508,01/01/2015 17:00,0.527125,37.50233,93,0.25,974
st2010-3508,01/01/2015 18:00,0.5282133,37.50193,160,0.75,1000
st2010-3508,01/01/2015 19:00,0.5280016,37.50177,75,0.4,941
st2010-3508,01/01/2015 20:00,0.5359617,37.50306,172,0.35,973
st2010-3508,01/01/2015 21:00,0.5359533,37.49989,303,0.31,960
st2010-3508,01/01/2015 22:00,0.5340816,37.50079,0,0.29,966
st2010-3508,01/01/2015 23:00,0.5238966,37.49892,131,0.44,964
st2010-3508,02/01/2015 00:00,0.5229766,37.50014,26,1.26,944
st2010-3508,02/01/2015 01:00,0.5226733,37.49466,296,2.11,945
st2010-3508,02/01/2015 02:00,0.5260366,37.48465,136,0.8,993
st2010-3508,02/01/2015 03:00,0.5282683,37.47431,50,0.47,1009
st2010-3508,02/01/2015 04:00,0.5282633,37.47618,0,0.07,882
st2010-3508,02/01/2015 05:00,0.5301216,37.47501,39,1.15,979
st2010-3508,02/01/2015 06:00,0.53069,37.47343,141,0.2,955
st2010-3508,02/01/2015 07:00,0.5314683,37.47416,8,0.4,977
st2010-3508,02/01/2015 08:00,0.5315216,37.47717,72,0.6,1012
st2010-3508,02/01/2015 09:00,0.53333,37.47731,1,0.76,924
st2010-3508,02/01/2015 10:00,0.534465,37.47854,0,0.82,916
st2010-3508,02/01/2015 11:00,0.5341867,37.47868,258,0.29,951
st2010-3508,02/01/2015 12:00,0.5332733,37.48009,189,0.07,1008
st2010-3508,02/01/2015 13:00,0.5331367,37.48111,209,0.33,1032
st2010-3508,02/01/2015 14:00,0.5331084,37.48112,85,0.29,1003
st2010-3508,02/01/2015 15:00,0.5325466,37.48161,183,0.24,983
st2010-3508,02/01/2015 16:00,0.531755,37.48317,77,3.09,993
st2010-3508,02/01/2015 17:00,0.5318516,37.4884,32,3.11,1016
st2010-3508,02/01/2015 18:00,0.5294917,37.49289,209,0.66,963
st2010-3508,02/01/2015 19:00,0.5239866,37.49302,303,0.76,979
st2010-3508,02/01/2015 20:00,0.5176867,37.48949,167,0.33,981
st2010-3508,02/01/2015 21:00,0.519105,37.49039,11,0.76,981
st2010-3508,02/01/2015 22:00,0.5161916,37.48704,39,0.35,1001
st2010-3508,02/01/2015 23:00,0.5175733,37.48156,52,0.56,1003
st2010-3508,03/01/2015 00:00,0.51659,37.47944,276,0.47,1012
st2010-3508,03/01/2015 01:00,0.5186333,37.48259,5,0.8,992
st2010-3508,03/01/2015 02:00,0.5167267,37.4796,0,0.51,1032
st2010-3508,03/01/2015 03:00,0.5155967,37.47961,0,0.76,1022
st2010-3508,03/01/2015 04:00,0.5162133,37.47923,304,0.15,988
st2010-3508,03/01/2015 05:00,0.5178083,37.48074,1,2.04,1004
st2010-3508,03/01/2015 06:00,0.5179099,37.48066,65,0.35,1005
st2010-3508,03/01/2015 07:00,0.5216983,37.4801,308,0.96,1003
st2010-3508,03/01/2015 08:00,0.521615,37.47858,93,0.24,1034
st2010-3508,03/01/2015 09:01,0.52426,37.47113,314,3.22,1021
st2010-3508,03/01/2015 10:00,0.5291283,37.46668,0,0.13,1034
st2010-3508,03/01/2015 11:00,0.5294883,37.46415,213,2.17,1054
st2010-3508,03/01/2015 12:00,0.5273067,37.46284,92,1.07,1109
st2010-3508,03/01/2015 13:00,0.524505,37.46013,134,0.67,1086
st2010-3508,03/01/2015 14:00,0.5240633,37.46031,151,0.56,1060
st2010-3508,03/01/2015 15:00,0.524775,37.45974,219,0.64,1046
st2010-3508,03/01/2015 16:00,0.52512,37.46186,221,0.38,1021
st2010-3508,03/01/2015 17:00,0.5244316,37.46385,216,0.38,1058
st2010-3508,03/01/2015 18:00,0.5197217,37.46923,223,0.93,925
st2010-3508,03/01/2015 19:00,0.5126616,37.46853,267,0.96,985
st2010-3508,03/01/2015 20:00,0.5050967,37.46864,41,0.2,1022
st2010-3508,03/01/2015 21:00,0.4996383,37.46799,0,0.51,1018
st2010-3508,03/01/2015 22:00,0.4999984,37.46881,300,0.22,988
st2010-3508,03/01/2015 23:00,0.5062283,37.46981,75,2.73,1001
st2010-3508,04/01/2015 00:00,0.5187017,37.48233,70,1.02,1050
st2010-3508,04/01/2015 01:00,0.5210917,37.47852,222,0.25,1075
st2010-3508,04/01/2015 02:00,0.519905,37.47425,52,0.13,1052
st2010-3508,04/01/2015 03:00,0.52019,37.47361,314,2.69,1020
st2010-3508,04/01/2015 04:00,0.5207916,37.47287,293,0.25,1006
st2010-3508,04/01/2015 05:00,0.5205867,37.47112,210,1.15,996
st2010-3508,04/01/2015 06:00,0.5244017,37.46881,28,2.42,985
